start,end,pitch,velocity,duration
63.5878,64.1800,60,64,0.5921
64.1916,64.2844,63,64,0.0929
64.3309,65.3410,63,64,1.0101
65.3874,65.9098,63,64,0.5224
65.9679,66.6064,60,64,0.6385
66.6297,67.1405,55,64,0.5108
67.1985,67.2566,60,64,0.0580
67.3379,67.4888,60,64,0.1509
67.5236,67.7674,60,64,0.2438
67.8255,68.4873,48,64,0.6618
68.4989,68.8007,48,64,0.3019
68.8472,68.9865,60,64,0.1393
69.2187,69.2767,75,64,0.0580
69.4741,69.5670,75,64,0.0929
69.5670,69.6483,76,64,0.0813
69.6599,69.7411,78,64,0.0813
69.7644,69.8456,75,64,0.0813
69.8688,69.9269,75,64,0.0580
70.0662,70.1707,75,64,0.1045
70.3100,70.8325,48,64,0.5224
70.9137,71.3201,51,64,0.4063
71.3665,71.4246,63,64,0.0580
71.4246,71.5407,64,64,0.1161
71.5407,72.0399,65,64,0.4992
72.0515,72.5159,65,64,0.4644
72.5507,72.9919,60,64,0.4412
73.0500,73.5724,48,64,0.5224
73.5956,73.9672,48,64,0.3715
74.0252,74.1878,60,64,0.1625
74.2458,74.4780,60,64,0.2322
74.5244,74.7450,60,64,0.2206
74.7566,74.9656,55,64,0.2090
75.1049,75.2559,55,64,0.1509
75.2791,75.9293,60,64,0.6502
75.9873,76.4053,48,64,0.4180
76.5214,77.0902,72,64,0.5689
77.1019,77.2412,70,64,0.1393
77.2644,77.7056,70,64,0.4412
78.0190,78.6228,72,64,0.6037
78.6228,78.6808,71,64,0.0580
78.6808,79.2497,70,64,0.5689
79.2845,79.3890,76,64,0.1045
79.3890,79.4587,77,64,0.0697
79.6909,79.7605,66,64,0.0697
79.7605,80.2366,67,64,0.4760
80.2598,80.3527,67,64,0.0929
80.3643,80.4223,67,64,0.0580
80.4688,81.4904,55,64,1.0217
81.5833,82.6746,48,64,1.0913
82.7443,82.9765,43,64,0.2322
83.1042,83.1855,66,64,0.0813
83.1855,83.2784,67,64,0.0929
83.2784,83.3364,66,64,0.0580
83.3712,83.4757,67,64,0.1045
83.5106,83.6267,67,64,0.1161
83.6267,83.6963,66,64,0.0697
83.6963,83.8124,67,64,0.1161
83.8240,84.3697,65,64,0.5457
84.4045,84.9154,67,64,0.5108
84.9270,84.9966,65,64,0.0697
85.0547,85.2521,65,64,0.1974
85.4610,85.9254,63,64,0.4644
86.0532,86.2621,63,64,0.2090
86.2737,87.2025,65,64,0.9288
87.2141,87.4580,63,64,0.2438
87.5276,87.6205,51,64,0.0929
87.7830,88.2823,58,64,0.4992
88.3171,88.8628,60,64,0.5457
88.8860,89.1182,63,64,0.2322
89.3388,89.4200,63,64,0.0813
89.5361,90.1050,43,64,0.5689
90.7204,91.2776,58,64,0.5573
91.3009,91.8930,60,64,0.5921
91.9162,92.0207,63,64,0.1045
92.0439,92.5663,63,64,0.5224
92.6824,92.9146,82,64,0.2322
92.9727,93.0307,82,64,0.0580
93.1585,93.6809,63,64,0.5224
93.7157,94.2846,60,64,0.5689
